Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,17,0,2,2.260463240364676,1.378999964799732,4.921792016830295,69.0,0.6544809262441396,0.0,2,2,3,3,4,5,5,5,5,5,5
GET,GET /insights,2,0,2326.722417026758,2645.2294795017224,2326.722417026758,2963.7365419766866,588.0,0.0769977560287223,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,GET /metrics,9,0,3,4.091291662512554,1.6969999996945262,8.971915987785906,3970.0,0.34648990212925035,0.0,3,3,7,8,9,9,9,9,9,9,9
POST,POST /predict,62,0,51,63.76433201066609,37.82349999528378,653.5313340136781,413.93548387096774,2.3869304368903914,0.0,51,58,61,63,73,78,100,650,650,650,650
POST,POST /predict [heavy],476,0,46,51.77183246568722,36.7561670136638,638.5934590362012,412.2920168067227,18.325465934835908,0.0,46,50,53,56,66,77,100,120,640,640,640
,Aggregated,566,0,46,60.00439805190931,1.378999964799732,2963.7365419766866,459.35335689045934,21.79036495612841,0.0,46,50,54,57,67,78,110,130,3000,3000,3000
