Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,49,0,64,71.5731615331309,1.503166975453496,207.545957993716,69.0,1.7464246928419283,0.0,64,80,94,110,130,160,210,210,210,210,210
GET,GET /metrics,22,0,45,62.68629163440148,14.927665994036943,288.54004200547934,3970.0,0.7841090457657637,0.0,46,65,69,73,80,160,290,290,290,290,290
POST,POST /predict,183,0,250.0,260.69464484806036,39.27383397240192,615.3605420258828,411.7103825136612,6.52236160796067,0.0,250,290,330,350,410,490,570,600,620,620,620
POST,POST /predict [heavy],1299,0,250.0,252.5997984338587,37.9272080026567,621.5880420058966,412.3587374903772,46.29807502044214,0.0,250,280,310,330,390,480,550,570,610,620,620
,Aggregated,1553,0,250.0,245.15160431671458,1.503166975453496,621.5880420058966,451.84674822923375,55.350970367010504,0.0,250,280,310,330,390,480,550,570,620,620,620
