Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,49,0,4500.0,4575.9772448515405,387.6098750042729,8438.225416990463,73.0,1.1115338680816242,0.0,4500,4800,5100,5700,7000,7400,8400,8400,8400,8400,8400
GET,GET /metrics,37,0,4600.0,4280.1394087838235,391.38808398274705,8245.173458009958,3934.0,0.8393214922248999,0.0,4600,4800,5000,5300,6200,7500,8200,8200,8200,8200,8200
POST,POST /predict,139,0,5200.0,4915.714508423786,1179.6116670011543,9361.093499988783,413.33812949640287,3.1531266870070565,0.0,5200,5700,5900,6100,6800,7700,8800,9200,9400,9400,9400
POST,POST /predict [heavy],324,0,5300.0,5080.657415519207,993.0379999568686,8925.48179201549,413.22222222222223,7.349734148131556,0.0,5300,5700,6000,6300,7300,7700,8100,8400,8900,8900,8900
,Aggregated,549,0,5200.0,4939.9004779997385,387.6098750042729,9361.093499988783,620.1693989071039,12.453716195445137,0.0,5200,5600,5900,6100,7100,7700,8200,8600,9400,9400,9400
