Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,22,0,260.0,346.0941685453608,241.81050003971905,1230.4351670318283,73.0,0.49866263120822824,0.0,270,270,280,290,330,1000,1200,1200,1200,1200,1200
GET,GET /insights,3,0,7900.0,8821.751083654817,6703.546083997935,11910.825208993629,593.0,0.06799944971021293,0.0,7900,7900,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,GET /metrics,10,0,260.0,332.24743329919875,247.3042500205338,991.5113330353051,3934.0,0.22666483236737647,0.0,260,270,270,270,990,990,990,990,990,990,990
POST,POST /predict,68,0,410.0,614.8699577187311,342.5575830042362,3929.2140840552747,413.3382352941176,1.54132086009816,0.0,410,450,470,490,570,2800,3500,3900,3900,3900,3900
POST,POST /predict [heavy],307,0,400.0,484.18180811835504,310.5157499667257,3966.7691250215285,412.9771986970684,6.958610353678457,0.0,400,430,450,460,490,540,1400,3600,4000,4000,4000
,Aggregated,410,0,400.0,555.7482231930807,241.81050003971905,11910.825208993629,481.99024390243903,9.293258127062435,0.0,400,430,450,460,520,1000,3500,3900,12000,12000,12000
