Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,37,0,600.0,638.8459414278308,230.17429100582376,1685.0131670362316,73.0,0.8598240921805925,0.0,600,770,840,870,1000,1100,1700,1700,1700,1700,1700
GET,GET /metrics,33,0,580.0,608.9310201756289,271.54808305203915,1245.9158749552444,3934.0,0.7668701362691771,0.0,580,630,690,740,930,1100,1200,1200,1200,1200,1200
POST,POST /predict,150,0,1700.0,1650.7750450268697,391.5921659790911,2903.7915409426205,412.9,3.485773346678078,0.0,1700,1800,2000,2000,2200,2400,2500,2500,2900,2900,2900
POST,POST /predict [heavy],511,1,1700.0,1638.4602059885165,8.378833008464426,3249.343500006944,412.3737769080235,11.874867867683317,0.02323848897785385,1700,1900,1900,2000,2200,2300,2500,2700,3200,3200,3200
,Aggregated,731,1,1600.0,1543.9144261460847,8.378833008464426,3249.343500006944,554.2831737346102,16.987335442811165,0.02323848897785385,1600,1800,1900,2000,2200,2300,2500,2700,3200,3200,3200
